session_id,player_id,source_label,t_end_s,raw_score,gated_score,change_detected,running_peak_score,running_high_count,running_change_count,running_verdict
L05808_E05,L05808,legit,-4.03125,0.3282397638094965,0.2560270157714073,0,0.2560270157714073,0,0,Likely Legit
L05808_E05,L05808,legit,-3.78125,0.33430700723946577,0.2607594656467833,0,0.2607594656467833,0,0,Likely Legit
L05808_E05,L05808,legit,-3.53125,0.540822014304962,0.540822014304962,1,0.540822014304962,0,1,Likely Legit
L05808_E05,L05808,legit,-3.28125,0.3337975740622225,0.2603621077685336,1,0.540822014304962,0,2,Likely Legit
L05808_E05,L05808,legit,-3.03125,0.5967546792739483,0.5967546792739483,1,0.5967546792739483,0,3,Likely Legit
L05808_E05,L05808,legit,-2.78125,0.684690117296976,0.684690117296976,1,0.684690117296976,0,4,Likely Legit
L05808_E05,L05808,legit,-2.53125,0.32168881517272496,0.32168881517272496,1,0.684690117296976,0,5,Likely Legit
L05808_E05,L05808,legit,-2.28125,0.31924859595746063,0.31924859595746063,1,0.684690117296976,0,6,Likely Legit
L05808_E05,L05808,legit,-2.03125,0.3458767134612799,0.3458767134612799,1,0.684690117296976,0,7,Likely Legit
L05808_E05,L05808,legit,-1.78125,0.32885331488580155,0.32885331488580155,1,0.684690117296976,0,8,Likely Legit
L05808_E05,L05808,legit,-1.53125,0.33559642904145015,0.33559642904145015,1,0.684690117296976,0,9,Likely Legit
L05808_E05,L05808,legit,-1.28125,0.640879424004043,0.640879424004043,1,0.684690117296976,0,10,Likely Legit
L05808_E05,L05808,legit,-1.03125,0.8626853952740213,0.8626853952740213,1,0.8626853952740213,1,11,Suspicious
L05808_E05,L05808,legit,-0.78125,0.9232630520019482,0.9232630520019482,1,0.9232630520019482,2,12,Suspicious
L05808_E05,L05808,legit,-0.53125,0.7792005884938191,0.7792005884938191,1,0.9232630520019482,3,13,Suspicious
L05808_E05,L05808,legit,-0.28125,0.5005010691753162,0.5005010691753162,1,0.9232630520019482,3,14,Suspicious
L05808_E05,L05808,legit,-0.03125,0.4660468422485019,0.4660468422485019,1,0.9232630520019482,3,15,Suspicious
L05808_E05,L05808,legit,0.21875,0.2644653225675067,0.2644653225675067,1,0.9232630520019482,3,16,Suspicious
L05808_E05,L05808,legit,0.46875,0.31772420402443324,0.31772420402443324,1,0.9232630520019482,3,17,Suspicious
L05808_E05,L05808,legit,0.71875,0.3056716422078108,0.3056716422078108,1,0.9232630520019482,3,18,Suspicious
L05808_E05,L05808,legit,0.96875,0.6796788193441672,0.6796788193441672,1,0.9232630520019482,3,19,Suspicious
